2024-04-25 23:49:18 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 15056
2024-04-25 23:49:18 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-04-25 23:49:18 0 [Note] InnoDB: Uses event mutexes
2024-04-25 23:49:18 0 [Note] InnoDB: Compressed tables use zlib 1.3
2024-04-25 23:49:18 0 [Note] InnoDB: Number of pools: 1
2024-04-25 23:49:18 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=312] with future log sequence number 817331
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=401] with future log sequence number 824100
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=47] with future log sequence number 810402
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=311] with future log sequence number 810402
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=46] with future log sequence number 810363
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=309] with future log sequence number 810363
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=266] with future log sequence number 824058
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=400] with future log sequence number 824058
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=265] with future log sequence number 824016
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=399] with future log sequence number 824016
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=263] with future log sequence number 823930
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=322] with future log sequence number 807656
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=404] with future log sequence number 823930
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=262] with future log sequence number 823886
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=397] with future log sequence number 823886
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=261] with future log sequence number 823784
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=46, page number=3] with future log sequence number 824720
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=46, page number=2] with future log sequence number 806358
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=396] with future log sequence number 823784
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=46, page number=1] with future log sequence number 804296
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=260] with future log sequence number 823698
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=395] with future log sequence number 823698
2024-04-25 23:49:18 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=259] with future log sequence number 823612
